Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015808892.1	LIM and senescent cell antigen-like-containing domain protein 1 isoform X2	LOC107381634	LIMS1
XP_015808893.1	LIM and senescent cell antigen-like-containing domain protein 1 isoform X3	LOC107381634	LIMS1
XP_015808893.1	LIM and senescent cell antigen-like-containing domain protein 1 isoform X3	LOC107381634	LIMS2
XP_015808894.1	importin-8 isoform X2	ipo8	IPO8
XP_015808895.1	NTPase KAP family P-loop domain-containing protein 1	nkpd1	NKPD1
XP_015808896.1	protocadherin-17 isoform X1	pcdh17	PCDH17
XP_015808897.1	protocadherin-17 isoform X2	pcdh17	PCDH17
XP_015808898.1	importin-8 isoform X3	ipo8	IPO8
XP_015808899.1	protein diaphanous homolog 3	diaph3	DIAPH3
XP_015808900.1	protocadherin-20	pcdh20	ENSG00000197991
XP_015808900.1	protocadherin-20	pcdh20	PCDH20
XP_015808901.1	tudor domain-containing protein 3	tdrd3	TDRD3
XP_015808902.1	protocadherin-9 isoform X1	pcdh9	PCDH9
XP_015808903.1	protocadherin-9 isoform X2	pcdh9	PCDH9
XP_015808905.1	POU domain, class 4, transcription factor 1	pou4f1	POU4F1
XP_015808906.1	RING finger protein 219	rnf219	OBI1
XP_015808907.1	RNA-binding protein 26	rbm26	RBM26
XP_015808908.1	TFIIH basal transcription factor complex helicase XPB subunit	ercc3	ERCC3
XP_015808909.1	cytochrome P450 27C1	LOC107381651	CYP27C1
XP_015808910.1	GPALPP motifs-containing protein 1	gpalpp1	GPALPP1
XP_015808911.1	caprin-2 isoform X1	caprin2	CAPRIN2
XP_015808911.1	caprin-2 isoform X1	caprin2	C1QTNF3
XP_015808911.1	caprin-2 isoform X1	caprin2	C1QTNF3-AMACR
XP_015808913.1	general transcription factor IIF subunit 2 isoform X2	gtf2f2	GTF2F2
XP_015808916.1	WD repeat, SAM and U-box domain-containing protein 1	wdsub1	WDR87
XP_015808916.1	WD repeat, SAM and U-box domain-containing protein 1	wdsub1	WDSUB1
XP_015808916.1	WD repeat, SAM and U-box domain-containing protein 1	wdsub1	WDR88
XP_015808920.1	caprin-2 isoform X2	caprin2	CAPRIN2
XP_015808920.1	caprin-2 isoform X2	caprin2	C1QTNF3
XP_015808920.1	caprin-2 isoform X2	caprin2	MMRN1
XP_015808923.1	bromodomain adjacent to zinc finger domain protein 2B isoform X5	baz2b	BAZ2B
XP_015808924.1	bromodomain adjacent to zinc finger domain protein 2B isoform X6	baz2b	BAZ2B
XP_015808926.1	bromodomain adjacent to zinc finger domain protein 2B isoform X8	baz2b	BAZ2B
XP_015808928.1	bromodomain adjacent to zinc finger domain protein 2B isoform X10	baz2b	BAZ2B
XP_015808929.1	bromodomain adjacent to zinc finger domain protein 2B isoform X11	baz2b	BAZ2B
XP_015808930.1	caprin-2 isoform X3	caprin2	CAPRIN2
XP_015808934.1	E3 ubiquitin-protein ligase MARCH7 isoform X3	march7	MARCHF7
XP_015808934.1	E3 ubiquitin-protein ligase MARCH7 isoform X3	march7	MARCHF10
XP_015808935.1	E3 ubiquitin-protein ligase MARCH7 isoform X4	march7	MARCHF10
XP_015808935.1	E3 ubiquitin-protein ligase MARCH7 isoform X4	march7	MARCHF7
XP_015808936.1	lymphocyte antigen 75-like	LOC107381659	F12
XP_015808936.1	lymphocyte antigen 75-like	LOC107381659	LY75-CD302
XP_015808936.1	lymphocyte antigen 75-like	LOC107381659	PRG2
XP_015808936.1	lymphocyte antigen 75-like	LOC107381659	LY75
XP_015808937.1	secretory phospholipase A2 receptor	pla2r1	F12
XP_015808937.1	secretory phospholipase A2 receptor	pla2r1	PLA2R1
XP_015808939.1	integrin beta-6	itgb6	ITGB6
XP_015808939.1	integrin beta-6	itgb6	ITGB2
XP_015808941.1	26S proteasome non-ATPase regulatory subunit 14	psmd14	PSMD14
XP_015808942.1	fibronectin isoform X1	fn1	FN1
XP_015808943.1	fibronectin isoform X2	fn1	FN1
XP_015808945.1	fibronectin isoform X4	fn1	ELSPBP1
XP_015808946.1	bifunctional purine biosynthesis protein PURH	atic	ATIC
XP_015808950.1	serine/threonine-protein kinase 16	stk16	STK16
XP_015808951.1	PEST proteolytic signal-containing nuclear protein isoform X1	pcnp	PCNP
XP_015808953.1	PEST proteolytic signal-containing nuclear protein isoform X2	pcnp	PCNP
XP_015808957.1	transmembrane protein 39A	tmem39a	TMEM39A
XP_015808958.1	serine protease 23	prss23	PRSS23
XP_015808960.1	immunoglobulin-like domain-containing receptor 2 isoform X1	LOC107381678	ILDR2
XP_015808965.1	muskelin	mkln1	MKLN1
XP_015808966.1	cell surface A33 antigen-like	LOC107381681	GPA33
XP_015808968.1	cell surface A33 antigen-like isoform X2	LOC107381682	VSIG1
XP_015808969.1	gastrin-releasing peptide receptor	grpr	GRPR
XP_015808970.1	vascular endothelial growth factor D isoform X1	figf	VEGFD
XP_015808974.1	pirin	pir	PIR
XP_015808976.1	podocalyxin	podxl	PODXL
XP_015808977.1	angiotensin-converting enzyme 2	ace2	ACE2
XP_015808992.1	serine/threonine-protein phosphatase with EF-hands 1-like isoform X1	LOC107381694	EFCAB6
XP_015808993.1	serine/threonine-protein phosphatase with EF-hands 1-like isoform X2	LOC107381694	PPEF1
XP_015808995.1	retinoschisin-like	LOC107381695	RS1
XP_015808996.1	phosphorylase b kinase regulatory subunit alpha, liver isoform isoform X1	LOC107381696	PHKA2
XP_015809001.1	WASP homolog-associated protein with actin, membranes and microtubules	whamm	WHAMM
XP_015809003.1	fibronectin type III and SPRY domain-containing protein 2 isoform X2	fsd2	FSD2
XP_015809005.1	fibronectin type III and SPRY domain-containing protein 2 isoform X4	fsd2	FSD2
XP_015809007.1	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2	zrsr2	ZRSR2
XP_015809009.1	BTB/POZ domain-containing protein 1 isoform X1	btbd1	BTBD1
XP_015809010.1	BTB/POZ domain-containing protein 1 isoform X2	btbd1	BTBD1
XP_015809011.1	transmembrane 6 superfamily member 1	tm6sf1	TM6SF1
XP_015809014.1	homer protein homolog 2	homer2	HOMER2
XP_015809016.1	AP-1 complex subunit sigma-2	ap1s2	AP1S3
XP_015809017.1	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A-like isoform X1	LOC107381708	PDE8A
XP_015809017.1	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A-like isoform X1	LOC107381708	PDE8B
XP_015809018.1	high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A-like isoform X2	LOC107381708	PDE8A
XP_015809019.1	glycine amidinotransferase, mitochondrial	gatm	GATM
XP_015809020.1	very long-chain acyl-CoA synthetase-like	LOC107381710	SLC27A2
XP_015809020.1	very long-chain acyl-CoA synthetase-like	LOC107381710	SLC27A5
XP_015809021.1	nuclear transcription factor Y subunit beta isoform X2	nfyb	NFYB
XP_015809022.1	very long-chain acyl-CoA synthetase-like	LOC107381711	SLC27A3
XP_015809024.1	ubiquitin carboxyl-terminal hydrolase 8	usp8	USP8
XP_015809024.1	ubiquitin carboxyl-terminal hydrolase 8	usp8	USP50
XP_015809026.1	mitogen-activated protein kinase 6	mapk6	MAPK4
XP_015809026.1	mitogen-activated protein kinase 6	mapk6	MAPK6
XP_015809028.1	dmX-like protein 2 isoform X2	dmxl2	DMXL2
XP_015809029.1	dmX-like protein 2 isoform X3	dmxl2	DMXL2
XP_015809030.1	dmX-like protein 2 isoform X4	dmxl2	DMXL2
XP_015809032.1	semaphorin-6D isoform X1	sema6d	SEMA6D
XP_015809033.1	semaphorin-6D isoform X2	sema6d	SEMA6D
XP_015809034.1	carbohydrate sulfotransferase 11 isoform X1	chst11	CHST11
XP_015809035.1	semaphorin-6D isoform X3	sema6d	SEMA6D
XP_015809036.1	myelin expression factor 2 isoform X1	myef2	MYEF2
XP_015809036.1	myelin expression factor 2 isoform X1	myef2	HNRNPM
XP_015809037.1	myelin expression factor 2 isoform X2	myef2	MYEF2
XP_015809037.1	myelin expression factor 2 isoform X2	myef2	HNRNPM
XP_015809038.1	sodium/potassium/calcium exchanger 5	slc24a5	SLC24A5
XP_015809039.1	E3 ubiquitin-protein ligase RNF128-like	LOC107381719	RNF128
XP_015809039.1	E3 ubiquitin-protein ligase RNF128-like	LOC107381719	RNF133
XP_015809039.1	E3 ubiquitin-protein ligase RNF128-like	LOC107381719	RNF148
XP_015809040.1	cortexin-2	ctxn2	CTXN2
XP_015809040.1	cortexin-2	ctxn2	CTXND1
XP_015809040.1	cortexin-2	ctxn2	CTXN3
XP_015809041.1	solute carrier family 12 member 1	slc12a1	SLC12A1
XP_015809042.1	carbohydrate sulfotransferase 11 isoform X2	chst11	CHST11
XP_015809044.1	fibrillin-1	fbn1	UMOD
XP_015809044.1	fibrillin-1	fbn1	SELENOV
XP_015809044.1	fibrillin-1	fbn1	FBN2
XP_015809044.1	fibrillin-1	fbn1	FBN1
XP_015809044.1	fibrillin-1	fbn1	FBN3
XP_015809045.1	deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial isoform X1	dut	DUT
XP_015809046.1	deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial isoform X2	dut	DUT
XP_015809048.1	selenocysteine insertion sequence-binding protein 2-like	secisbp2l	SECISBP2L
XP_015809049.1	COP9 signalosome complex subunit 2	cops2	COPS2
XP_015809050.1	fibroblast growth factor 7	fgf7	FGF7
XP_015809052.1	DTW domain-containing protein 1	dtwd1	DTWD1
XP_015809054.1	solute carrier family 41 member 2-like	LOC107381728	SLC41A2
XP_015809055.1	spermatogenesis-associated protein 5-like protein 1	spata5l1	AFG2B
XP_015809056.1	normal mucosa of esophagus-specific gene 1 protein	csgr07h15orf48	C15orf48
XP_015809058.1	zinc transporter 4	slc30a4	SLC30A4
XP_015809060.1	biogenesis of lysosome-related organelles complex 1 subunit 6	bloc1s6	BLOC1S6
XP_015809061.1	nicotinamide riboside kinase 2-like	LOC107381735	NMRK2
XP_015809061.1	nicotinamide riboside kinase 2-like	LOC107381735	NMRK1
XP_015809067.1	dual specificity mitogen-activated protein kinase kinase 5	map2k5	MAP2K5
XP_015809069.1	E3 SUMO-protein ligase PIAS1-like isoform X1	LOC107381742	PIAS1
XP_015809071.1	relaxin-3 receptor 1-like	LOC107381743	RXFP4
XP_015809072.1	mortality factor 4-like protein 1	LOC107381744	MORF4L1
XP_015809072.1	mortality factor 4-like protein 1	LOC107381744	MORF4L2
XP_015809076.1	transducin-like enhancer protein 3 isoform X4	tle3	TLE3
XP_015809077.1	transducin-like enhancer protein 3 isoform X5	tle3	TLE3
XP_015809077.1	transducin-like enhancer protein 3 isoform X5	tle3	TLE2
XP_015809078.1	kinesin-like protein KIF23 isoform X1	kif23	KIF23
XP_015809080.1	kinesin-like protein KIF23 isoform X3	kif23	KIF23
XP_015809081.1	kinesin-like protein KIF23 isoform X4	kif23	KIF23
XP_015809083.1	membrane progestin receptor gamma	paqr5	PAQR5
XP_015809084.1	D-glucuronyl C5-epimerase	glce	GLCE
XP_015809086.1	acidic leucine-rich nuclear phosphoprotein 32 family member A	anp32a	ANP32A
XP_015809086.1	acidic leucine-rich nuclear phosphoprotein 32 family member A	anp32a	ANP32D
XP_015809088.1	coronin-2B isoform X2	coro2b	CORO2B
XP_015809089.1	protein FAM199X	fam199x	FAM199X
XP_015809091.1	integrin alpha-11	itga11	ITGA11
XP_015809093.1	A disintegrin and metalloproteinase with thrombospondin motifs 7-like	LOC107381755	ADAMTS7
XP_015809095.1	calmodulin-like protein 4 isoform X1	calml4	CALML4
XP_015809096.1	calmodulin-like protein 4 isoform X2	calml4	CALML4
XP_015809097.1	uncharacterized protein C12orf45 homolog	csgr01h12orf45	NOPCHAP1
XP_015809098.1	ceroid-lipofuscinosis neuronal protein 6	cln6	ENSG00000260007
XP_015809098.1	ceroid-lipofuscinosis neuronal protein 6	cln6	CLN6
XP_015809099.1	neuronal acetylcholine receptor subunit alpha-7	chrna7	CHRNA7
XP_015809099.1	neuronal acetylcholine receptor subunit alpha-7	chrna7	CHRFAM7A
XP_015809100.1	activating signal cointegrator 1 isoform X1	trip4	TRIP4
XP_015809101.1	activating signal cointegrator 1 isoform X2	trip4	TRIP4
XP_015809102.1	zinc finger protein 609	znf609	ZNF609
XP_015809102.1	zinc finger protein 609	znf609	ZNF608
XP_015809104.1	GRAM domain-containing protein 2 isoform X2	gramd2	GRAMD2A
XP_015809109.1	mitochondrial 10-formyltetrahydrofolate dehydrogenase	aldh1l2	ALDH1L2
XP_015809110.1	unconventional myosin-IXa isoform X5	myo9a	IQCF5
XP_015809110.1	unconventional myosin-IXa isoform X5	myo9a	IQCF2
XP_015809111.1	unconventional myosin-IXa isoform X6	myo9a	MYO9A
XP_015809112.1	unconventional myosin-IXa isoform X7	myo9a	MYO9A
XP_015809113.1	unconventional myosin-IXa isoform X8	myo9a	MYO9A
XP_015809114.1	unconventional myosin-IXa isoform X9	myo9a	MYO9A
XP_015809115.1	unconventional myosin-IXa isoform X10	myo9a	MYO9A
XP_015809115.1	unconventional myosin-IXa isoform X10	myo9a	IQCN
XP_015809116.1	unconventional myosin-IXa isoform X11	myo9a	MYO9A
XP_015809117.1	sentrin-specific protease 8	senp8	SENP8
XP_015809118.1	secretory carrier-associated membrane protein 2-like isoform X1	LOC107381771	SCAMP2
XP_015809120.1	Bardet-Biedl syndrome 4 protein	bbs4	BBS4
XP_015809125.1	neogenin isoform X4	neo1	NEO1
XP_015809129.1	neogenin isoform X8	neo1	NEO1
XP_015809131.1	neogenin isoform X10	neo1	NEO1
XP_015809132.1	sorting nexin-1	snx1	SNX1
XP_015809134.1	casein kinase I isoform gamma-1 isoform X1	csnk1g1	CSNK1G3
XP_015809134.1	casein kinase I isoform gamma-1 isoform X1	csnk1g1	CSNK1G1
XP_015809135.1	casein kinase I isoform gamma-1 isoform X2	csnk1g1	CSNK1G1
XP_015809136.1	signal peptide, CUB and EGF-like domain-containing protein 1	scube1	SCUBE1
XP_015809136.1	signal peptide, CUB and EGF-like domain-containing protein 1	scube1	SCUBE2
XP_015809137.1	casein kinase I isoform gamma-1 isoform X3	csnk1g1	CSNK1G1
XP_015809137.1	casein kinase I isoform gamma-1 isoform X3	csnk1g1	CSNK1G3
XP_015809138.1	casein kinase I isoform gamma-1 isoform X4	csnk1g1	CSNK1G1
XP_015809140.1	cytoplasmic polyadenylation element-binding protein 1 isoform X1	cpeb1	CPEB1
XP_015809141.1	cytoplasmic polyadenylation element-binding protein 1 isoform X2	cpeb1	CPEB1
XP_015809141.1	cytoplasmic polyadenylation element-binding protein 1 isoform X2	cpeb1	ENSG00000260836
XP_015809142.1	cytoplasmic polyadenylation element-binding protein 1 isoform X3	cpeb1	ENSG00000260836
XP_015809142.1	cytoplasmic polyadenylation element-binding protein 1 isoform X3	cpeb1	CPEB1
XP_015809144.1	DNA damage-binding protein 1	ddb1	DDB1
XP_015809145.1	tetraspanin-4-like isoform X1	LOC107381782	TSPAN4
XP_015809146.1	tetraspanin-4-like isoform X2	LOC107381782	TSPAN4
XP_015809147.1	tetraspanin-4-like isoform X3	LOC107381782	TSPAN4
XP_015809148.1	tetraspanin-4-like isoform X4	LOC107381782	TSPAN4
XP_015809149.1	metallophosphoesterase domain-containing protein 1	mpped1	MPPED1
XP_015809150.1	transaldolase	taldo1	TALDO1
XP_015809155.1	paired amphipathic helix protein Sin3a-like	LOC107381785	SIN3B
XP_015809156.1	cellular retinoic acid-binding protein 1	crabp1	CRABP1
XP_015809157.1	solute carrier family 25 member 44-like	LOC107381787	SLC25A44
XP_015809158.1	proteasome subunit alpha type-4	psma4	PSMA4
XP_015809160.1	RNA-binding protein with multiple splicing isoform X2	LOC107381790	RBPMS2
XP_015809161.1	cilia- and flagella-associated protein 70	cfap70	CFAP70
XP_015809162.1	mitochondrial inner membrane protease ATP23 homolog	atp23	ATP23
XP_015809164.1	CD151 antigen	cd151	CD151
XP_015809165.1	uncharacterized protein LOC107381794	LOC107381794	MUC15
XP_015809166.1	leucine zipper protein 2-like	LOC107381795	LUZP2
XP_015809167.1	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1-B isoform X1	LOC107381797	LINGO1
XP_015809168.1	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1-B isoform X2	LOC107381797	LINGO1
XP_015809168.1	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1-B isoform X2	LOC107381797	ENSG00000285082
XP_015809170.1	potassium voltage-gated channel subfamily KQT member 1-like isoform X2	LOC107381798	KCNQ1
XP_015809172.1	methylthioribulose-1-phosphate dehydratase	apip	APIP
XP_015809175.1	GDP-fucose transporter 1	slc35c1	SLC35C1
XP_015809176.1	carbohydrate sulfotransferase 1	chst1	CHST1
XP_015809178.1	leucine-rich repeats and immunoglobulin-like domains protein 3	lrig3	LRIG3
XP_015809179.1	homeobox protein Nkx-2.5	nkx2-5	NKX2-5
XP_015809181.1	vesicle transport protein SEC20 isoform X2	bnip1	BNIP1
XP_015809182.1	V-type proton ATPase subunit e 1	atp6v0e1	ATP6V0E1
XP_015809183.1	60S ribosomal protein L26	LOC107381811	RPL26
XP_015809183.1	60S ribosomal protein L26	LOC107381811	RPL26L1
XP_015809183.1	60S ribosomal protein L26	LOC107381811	ENSG00000263809
XP_015809184.1	C-Jun-amino-terminal kinase-interacting protein 1	mapk8ip1	MAPK8IP1
XP_015809185.1	low-density lipoprotein receptor-related protein 4 isoform X1	lrp4	LRP4
XP_015809187.1	low-density lipoprotein receptor-related protein 4 isoform X3	lrp4	LRP4
XP_015809188.1	monocarboxylate transporter 2 isoform X1	slc16a7	SLC16A7
XP_015809189.1	protein kinase C-binding protein NELL1	nell1	NELL1
XP_015809190.1	sodium- and chloride-dependent glycine transporter 2	slc6a5	SLC6A7
XP_015809190.1	sodium- and chloride-dependent glycine transporter 2	slc6a5	SLC6A5
XP_015809195.1	oxidoreductase HTATIP2	htatip2	HTATIP2
XP_015809196.1	monocarboxylate transporter 2 isoform X2	slc16a7	SLC16A7
XP_015809197.1	neuron navigator 2 isoform X1	nav2	NAV2
XP_015809198.1	neuron navigator 2 isoform X2	nav2	NAV2
XP_015809199.1	neuron navigator 2 isoform X3	nav2	NAV2
XP_015809199.1	neuron navigator 2 isoform X3	nav2	NAV3
XP_015809200.1	neuron navigator 2 isoform X4	nav2	NAV2
XP_015809201.1	homeobox protein DBX1	dbx1	DBX1
XP_015809201.1	homeobox protein DBX1	dbx1	DBX2
XP_015809203.1	Golgi apparatus protein 1-like isoform X2	LOC107381824	GLG1
XP_015809206.1	protein kinase C and casein kinase substrate in neurons protein 3	pacsin3	PACSIN3
XP_015809207.1	protein Smaug homolog 1	samd4a	SAMD4A
XP_015809209.1	ERO1-like protein alpha isoform X2	ero1a	ERO1A
XP_015809210.1	transcription factor ETV6 isoform X1	etv6	ETV7
XP_015809210.1	transcription factor ETV6 isoform X1	etv6	ETV6
XP_015809211.1	WD repeat and HMG-box DNA-binding protein 1	wdhd1	WDHD1
XP_015809212.1	GTP cyclohydrolase 1	gch1	GCH1
XP_015809214.1	C-myc promoter-binding protein-like isoform X1	LOC107381832	DENND4A
XP_015809215.1	C-myc promoter-binding protein-like isoform X2	LOC107381832	DENND4C
XP_015809217.1	C-myc promoter-binding protein-like isoform X4	LOC107381832	DENND4C
XP_015809218.1	C-myc promoter-binding protein-like isoform X5	LOC107381832	DENND4A
XP_015809219.1	transcription factor ETV6 isoform X2	etv6	ETV7
XP_015809220.1	C-myc promoter-binding protein-like isoform X6	LOC107381832	DENND4A
XP_015809220.1	C-myc promoter-binding protein-like isoform X6	LOC107381832	DENND4C
XP_015809221.1	sodium/potassium/calcium exchanger 1-like	LOC107381833	SLC24A1
XP_015809222.1	solute carrier family 22 member 18	slc22a18	SLC22A18
XP_015809223.1	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like isoform X1	LOC107381835	HACD3
XP_015809224.1	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like isoform X2	LOC107381835	HACD3
XP_015809224.1	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like isoform X2	LOC107381835	HACD4
XP_015809226.1	photoreceptor-specific nuclear receptor isoform X2	nr2e3	NR2E3
XP_015809228.1	stimulated by retinoic acid gene 6 protein homolog	LOC107381837	STRA6
XP_015809230.1	immunoglobulin superfamily containing leucine-rich repeat protein 2-like isoform X2	LOC107381838	ISLR
XP_015809233.1	metallophosphoesterase MPPED2	LOC107381839	MPPED2
XP_015809234.1	palmitoyltransferase ZDHHC13	zdhhc13	ZDHHC13
XP_015809235.1	cysteine and glycine-rich protein 3	csrp3	CSRP3
XP_015809236.1	transcription factor E2F8	e2f8	E2F8
XP_015809238.1	gamma-secretase subunit Aph-1b	LOC107381845	APH1B
XP_015809238.1	gamma-secretase subunit Aph-1b	LOC107381845	APH1A
XP_015809240.1	myoblast determination protein 1	myod1	MYOD1
XP_015809242.1	troponin T, fast skeletal muscle-like isoform X2	LOC107381848	TNNT3
XP_015809245.1	troponin T, fast skeletal muscle isoforms-like isoform X5	LOC107381848	TNNT3
XP_015809246.1	troponin T, fast skeletal muscle isoforms-like isoform X6	LOC107381848	TNNT3
XP_015809247.1	troponin T, fast skeletal muscle isoforms-like isoform X7	LOC107381848	TNNT3
XP_015809248.1	protein FAM19A2 isoform X1	fam19a2	TAFA2
XP_015809250.1	uncharacterized protein LOC107381849 isoform X1	LOC107381849	PRR33
XP_015809252.1	non-muscle caldesmon-like isoform X1	LOC107381850	LSP1
XP_015809258.1	ribonuclease T2-like	LOC107381854	RNASET2
XP_015809258.1	ribonuclease T2-like	LOC107381854	ENSG00000249141
XP_015809259.1	myomesin-2-like	LOC107381855	MYOM2
XP_015809260.1	CUB and sushi domain-containing protein 1 isoform X1	csmd1	C4BPB
XP_015809261.1	CUB and sushi domain-containing protein 1 isoform X2	csmd1	CSMD1
XP_015809261.1	CUB and sushi domain-containing protein 1 isoform X2	csmd1	CSMD3
XP_015809261.1	CUB and sushi domain-containing protein 1 isoform X2	csmd1	C4BPA
XP_015809264.1	nucleolar RNA helicase 2 isoform X1	ddx21	DDX50
XP_015809264.1	nucleolar RNA helicase 2 isoform X1	ddx21	DDX21
XP_015809265.1	nucleolar RNA helicase 2 isoform X2	ddx21	DDX21
XP_015809268.1	synapsin-3	syn3	SYN3
XP_015809270.1	mitochondrial pyruvate carrier 1	mpc1	MPC1
XP_015809270.1	mitochondrial pyruvate carrier 1	mpc1	MPC1L
XP_015809271.1	KIF1-binding protein	kif1bp	KIFBP
XP_015809273.1	vacuolar protein sorting-associated protein 26A	vps26a	VPS26A
XP_015809274.1	ATP-dependent RNA helicase SUPV3L1, mitochondrial	supv3l1	SUPV3L1
XP_015809277.1	substance-K receptor	tacr2	TACR2
XP_015809278.1	tetraspanin-15	tspan15	TSPAN15
XP_015809279.1	metalloproteinase inhibitor 3-like	LOC107381870	TIMP3
XP_015809279.1	metalloproteinase inhibitor 3-like	LOC107381870	TIMP1
XP_015809280.1	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X1	dna2	DNA2
XP_015809282.1	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X3	dna2	DNA2
XP_015809283.1	DNA replication ATP-dependent helicase/nuclease DNA2 isoform X4	dna2	DNA2
XP_015809284.1	RUN and FYVE domain-containing protein 2 isoform X1	rufy2	RUFY2
XP_015809284.1	RUN and FYVE domain-containing protein 2 isoform X1	rufy2	RUFY3
XP_015809287.1	RUN and FYVE domain-containing protein 2 isoform X2	rufy2	RUFY3
XP_015809288.1	RUN and FYVE domain-containing protein 2 isoform X3	rufy2	RUFY2
XP_015809288.1	RUN and FYVE domain-containing protein 2 isoform X3	rufy2	RUFY3
XP_015809288.1	RUN and FYVE domain-containing protein 2 isoform X3	rufy2	RUFY1
XP_015809289.1	heterogeneous nuclear ribonucleoprotein H3 isoform X1	hnrnph3	HNRNPH3
XP_015809290.1	heterogeneous nuclear ribonucleoprotein H3 isoform X2	hnrnph3	HNRNPH3
XP_015809297.1	phenazine biosynthesis-like domain-containing protein	pbld	PBLD
XP_015809300.1	constitutive coactivator of peroxisome proliferator-activated receptor gamma isoform X1	fam120b	FAM120B
XP_015809301.1	constitutive coactivator of peroxisome proliferator-activated receptor gamma isoform X2	fam120b	FAM120B
XP_015809302.1	delta-like protein D	LOC107381881	DLL1
XP_015809303.1	ras-related and estrogen-regulated growth inhibitor	rerg	RERG
XP_015809303.1	ras-related and estrogen-regulated growth inhibitor	rerg	RASL12
XP_015809304.1	protein MIS12 homolog	mis12	MIS12
XP_015809305.1	protein phosphatase 1G	ppm1g	PPM1G
XP_015809306.1	rho-related GTP-binding protein RhoU-like	LOC107381884	RHOU
XP_015809307.1	programmed cell death protein 2	pdcd2	PDCD2
XP_015809308.1	nuclear factor of activated T-cells, cytoplasmic 3 isoform X1	nfatc3	NFATC4
XP_015809308.1	nuclear factor of activated T-cells, cytoplasmic 3 isoform X1	nfatc3	NFATC3
XP_015809309.1	nuclear factor of activated T-cells, cytoplasmic 3 isoform X2	nfatc3	NFATC4
XP_015809311.1	epithelial splicing regulatory protein 2-like	LOC107381887	ESRP1
XP_015809311.1	epithelial splicing regulatory protein 2-like	LOC107381887	ESRP2
XP_015809313.1	plexin-C1	plxnc1	PLXNC1
XP_015809317.1	E3 ubiquitin-protein ligase AMFR	amfr	AMFR
XP_015809318.1	serine/threonine/tyrosine-interacting protein	styx	STYX
XP_015809319.1	glucosamine 6-phosphate N-acetyltransferase	gnpnat1	GNPNAT1
XP_015809320.1	vitamin K-dependent protein S	pros1	PROS1
XP_015809321.1	histidine decarboxylase	hdc	HDC
XP_015809322.1	centrosomal protein of 83 kDa	cep83	CEP83
XP_015809323.1	gliomedin	gldn	GLDN
XP_015809325.1	COMM domain-containing protein 5-like	LOC107381875	COMMD5
XP_015809328.1	otogelin	otog	OTOG
XP_015809329.1	uncharacterized protein LOC107381906	LOC107381906	HK1
XP_015809329.1	uncharacterized protein LOC107381906	LOC107381906	HK2
XP_015809334.1	selenoprotein S	vimp	SELENOS
XP_015809335.1	U2 small nuclear ribonucleoprotein A'	snrpa1	SNRPA1
XP_015809335.1	U2 small nuclear ribonucleoprotein A'	snrpa1	CNTRL
XP_015809336.1	5-formyltetrahydrofolate cyclo-ligase	mthfs	MTHFS
XP_015809336.1	5-formyltetrahydrofolate cyclo-ligase	mthfs	ST20-MTHFS
XP_015809337.1	ETS domain-containing protein Elk-3-like	LOC107381921	ELK3
XP_015809338.1	fumarylacetoacetase isoform X1	fah	FAH
XP_015809339.1	fumarylacetoacetase isoform X2	fah	FAH
XP_015809340.1	aryl hydrocarbon receptor nuclear translocator 2	arnt2	ARNT
XP_015809340.1	aryl hydrocarbon receptor nuclear translocator 2	arnt2	ARNT2
XP_015809345.1	MTSS1-like protein isoform X5	LOC107381926	MTSS2
XP_015809346.1	MTSS1-like protein isoform X6	LOC107381926	MTSS2
XP_015809349.1	probable C-mannosyltransferase DPY19L3 isoform X2	dpy19l3	DPY19L3
XP_015809350.1	probable C-mannosyltransferase DPY19L3 isoform X3	dpy19l3	DPY19L4
XP_015809350.1	probable C-mannosyltransferase DPY19L3 isoform X3	dpy19l3	DPY19L3
XP_015809351.1	cyclin-dependent kinase 17	LOC107381927	CDK17
XP_015809352.1	zinc finger protein 507	znf507	ZNF507
XP_015809353.1	zinc finger protein 536-like	LOC107381931	ZNF536
XP_015809353.1	zinc finger protein 536-like	LOC107381931	ZNF219
XP_015809354.1	ras-related protein Rab-5C	LOC107381932	RAB17
XP_015809354.1	ras-related protein Rab-5C	LOC107381932	ENSG00000267261
XP_015809354.1	ras-related protein Rab-5C	LOC107381932	RAB5C
